DESIGNATION MATERIEL;"CATEGORIE";"SOUS CATEGORIE";"N° INV. IRAP";"DESCRIPTION";"Organisme (UPS ou CNRS)";"INVENTORIABLE";"TECHNIQUE";"STATUT";"NOM du FOURNISSEUR";"MONTANT";"ORIGINE CREDITS";"CDE";"CODE COMPTABLE";"REF. MATERIEL - N° série";"groupe thematique";"groupe technique";"Numéro inventaire organisme";"Lieu de stockage";"description lieu";"NOM RESPONSABLE PROJET";"Mail responsable";"Date de mise en service"
Alimentation HM7042-5 - triple - 2 x 32V/2A - 5,5V/5A;"INSTRUMENTATION";;"IRAPxx-1153";;;;;;;;;;;48410052;;;;;;"PETIOT";;
Alimentation HV M5K2  5000 V;"INSTRUMENTATION";;"IRAPxx-1154";;;;;;;;;;;3013;;;;;;"PETIOT";;
Alimentation programmable HM8142;"INSTRUMENTATION";;"IRAPxx-1155";;;;;;;;;;;;;;;;;"DEVOTO";;
Amplificateur Broadband Amplifier ;"INSTRUMENTATION";;"IRAPxx-1156";;;;;;;;;;;"CV0804682/01";;;;;;"BONNAMY";;
Analyseur numérique;"ELECTRONIQUE";;"IRAPxx-1157";;;;;;;;;;;;;;;;;"RAVERA";;
Atténuateur DC-18GHz 8494B/8496B;"ELECTRONIQUE";;"IRAPxx-1158";;;;;;;;;;;;;;;;;"DEVOTO";;
Atténuateur programmable 0-110dB step 10dB - 18GHz;"ELECTRONIQUE";;"IRAPxx-1159";;;;;;;;;;;"33322H";;;;;;"RAVERA";;
Atténuateur programmable 0-11dB step 1dB - 18GHz;"ELECTRONIQUE";;"IRAPxx-1160";;;;;;;;;;;"8494H";;;;;;"RAVERA";;
Balance;"INSTRUMENTATION";;"IRAPxx-1161";;;;;;;;;;;"16410687";;;;;;"BONNAMY";;
Champs magnétique Gaussmeter GM04;"INSTRUMENTATION";;"IRAPxx-1162";;;;;;;;;;;"GM1214";;;;;;"BONNAMY";;
Debogger JTAG FPGA Actel Silicon explorer 2;"INSTRUMENTATION";;"IRAPxx-1163";;;;;;;;;;;"SE-02035";;;;;;"PETIOT";;
Diode à bruit 2-18GHz stabilisée en température;"ELECTRONIQUE";;"IRAPxx-1164";;;;;;;;;;;"NMA5300";;;;;;"RAVERA";;
Picoammeter 486 ;"ELECTRONIQUE";;"IRAPxx-1165";;"CNRS";;;;;;;;;;;;"CNES LP/591";;;"THOCAVEN";;
Etuve;"INSTRUMENTATION";;"IRAPxx-1166";;;;;;;;;;;;;;;;;"BONNAMY";;
Générateur de fonctions AFG320;"ELECTRONIQUE";;"IRAPxx-1167";;;;;;;;;;;;;;;;;"DEVOTO";;
Générateur de signaux 9kHz - 3.2GHz;"ELECTRONIQUE";;"IRAPxx-1168";;;;;;;;;;;"8648C";;;;;;"RAVERA";;
Générateur de signaux arbitraires 100MHz;"ELECTRONIQUE";;"IRAPxx-1169";;;;;;;;;;;395;;;;;;"RAVERA";;
Générateur TEK AFG310;"ELECTRONIQUE";;"IRAPxx-1170";;;;;;;;;;;"J314362";;;;;;"LANDÉ";;
Multimètre;"ELECTRONIQUE";;"IRAPxx-1171";;;;;;;;;;;"980202568";;;;;;"BONNAMY";;
Oscilloscope 2 voies DC-6GHz;"ELECTRONIQUE";;"IRAPxx-1172";;;;;;;;;;;"TDS820";;;;;;"RAVERA";;
Oscilloscope 4 voies 100MHz;"ELECTRONIQUE";;"IRAPxx-1173";;;;;;;;;;;"TDS3014B";;;;;;"RAVERA";;
Oscilloscope 54601A - 4 voies - 100 Mhz;"ELECTRONIQUE";;"IRAPxx-1174";;;;;;;;;;;"3227A06703";;;;;;"PETIOT";;
Oscilloscope DPO4034;"ELECTRONIQUE";;"IRAPxx-1175";;;;;;;;;;;;;;;;;"DEVOTO";;
Oscilloscope Mixte 54622D;"ELECTRONIQUE";;"IRAPxx-1176";;;;;;;;;;;;;;;;;"DEVOTO";;
Oscilloscope TDS 2014B - 4 voies - 100 Mhz - 1Gech/s;"ELECTRONIQUE";;"IRAPxx-1177";;;;;;;;;;;"C031173";;;;;;"PETIOT";;
Oscilloscope TDS 3052;"ELECTRONIQUE";;"IRAPxx-1178";;;;;;;;;;;"B012148";;;;;;"BONNAMY";;
Oscilloscope TDS350 ;"ELECTRONIQUE";;"IRAPxx-1179";;;;;;;;;;;"B030463";;;;;;"THOCAVEN";;
Picoammeter 410A  ;"ELECTRONIQUE";;"IRAPxx-1180";;;;;;;;;;;;;;;;;"THOCAVEN";;
Sonde de Courant TCPA300;"INSTRUMENTATION";;"IRAPxx-1181";;;;;;;;;;;;;;;;;"DEVOTO";;
Sonde pour puissance-mètre HP436A 10MHz-18GHz;"INSTRUMENTATION";;"IRAPxx-1182";;;;;;;;;;;"8481D";;;;;;"RAVERA";;
Sondes P6013A High Voltage Probe;"INSTRUMENTATION";;"IRAPxx-1183";;;;;;;;;;;;;;;;;"THOCAVEN";;
Sondes Pince Ampèremétrique 428C;"INSTRUMENTATION";;"IRAPxx-1184";;;;;;;;;;;;;;;;;"DEVOTO";;
Sondes PM9355 Current Probe;"INSTRUMENTATION";;"IRAPxx-1185";;;;;;;;;;;"NC 9444 093 55091  DC 0 3597";;;;;;"THOCAVEN";;
Sondes pour oscilloscope TDS 820;"INSTRUMENTATION";;"IRAPxx-1186";;;;;;;;;;;"P6156";;;;;;"RAVERA";;
Sondes pour oscilloscope TDS 820;"INSTRUMENTATION";;"IRAPxx-1187";;;;;;;;;;;"P6156";;;;;;"RAVERA";;
Etuve de pompage VT5050K;"INSTRUMENTATION";;"IRAPxx-1188";;"CNRS";;;;;;;;;"8401440";;;"CNES 1005";;;"LE COMTE";;
Oscilloscope PM 3350;"ELECTRONIQUE";;"IRAPxx-1189";;"CNRS";;;;;;;;;"9444033";;;"CESR 1336";;;"BONNAMY";;
Alimentation double HV LPD425A-FM-W  250V/0,12A;"INSTRUMENTATION";;"IRAPxx-1190";;"CNRS";;;;;;;;;"A00784";;;"CNES1341";;;"PETIOT";;
Alimentation programmable 230 - simple - 3 x 30V/10A/60W;"INSTRUMENTATION";;"IRAPxx-1191";;"CNRS";;;;;;;;;408682;;;"CNES1374";;;"PETIOT";;
composants étalons Pont RLC PM6303;"ELECTRONIQUE";;"IRAPxx-1192";;"CNRS";;;;;;;;;945 206 303 001;;;"CNES1594";;;"PETIOT";;
Alimentation  PE1542/00 Power Supply;"INSTRUMENTATION";;"IRAPxx-1193";;"CNRS";;;;;;;;;"NC 9416 015 42 001 N  No WB 15539 1198";;;"CNES 1630";;;"THOCAVEN";;
Alimentation PE1542 - triple - 20V/1A - 7V/3A;"INSTRUMENTATION";;"IRAPxx-1194";;"CNRS";;;;;;;;;941 601 542 001;;;"CNES1780";;;"PETIOT";;
Analyseur logique 1652B 80 voies;"ELECTRONIQUE";;"IRAPxx-1195";;"CNRS";;;;;;;;;"3011A01390";;;"CNES1817";;;"PETIOT";;
Alimentation programmable PM2813 - triple - 3 x 30V/10A/60W;"INSTRUMENTATION";;"IRAPxx-1196";;"CNRS";;;;;;;;;9 448 028 130 111;;;"CNES1991";;;"PETIOT";;
Oscilloscope PM3392;"ELECTRONIQUE";;"IRAPxx-1197";;"CNRS";;;;;;;;;"9444 033 92 001";;;"CNES 2021";;;"THOCAVEN";;
Pompe TRIVAC ;"INSTRUMENTATION";;"IRAPxx-1198";;"CNRS";;;;;;;;;;;;"CNES 2138";;;"LE COMTE";;
Etuve de pompage VT6130M;"INSTRUMENTATION";;"IRAPxx-1199";;"CNRS";;;;;;;;;"93113140";;;"CNES 2143";;;"LE COMTE";;
Oscilloscope TDS 540B;"ELECTRONIQUE";;"IRAPxx-1200";;"CNRS";;;;;;;;;"B010545";;;"CNES2437";;;"LANDÉ";;
Pont RLC FLUKE PM6306;"ELECTRONIQUE";;"IRAPxx-1201";;"CNRS";;;;;;;;;"LO 670 269";;;"CNES2484";;;"LANDÉ";;
Oscilloscope TDS 3034;"ELECTRONIQUE";;"IRAPxx-1202";;"CNRS";;;;;;;;;"B017810";;;"CNES2911";;;"LANDÉ";;
Controleur pour atténuateur programmable;"INSTRUMENTATION";;"IRAPxx-1203";;"CNRS";;;;;;;;;"11713A";;;"CNES2967";;;"RAVERA";;
Alimentation 230 Programmable Voltage Source;"INSTRUMENTATION";;"IRAPxx-1204";;"CNRS";;;;;;;;;"STK12760 n°402267";;;"CNES 3021";;;"THOCAVEN";;
Synthetiseur de fréquences CW 10MHz-20GHz;"ELECTRONIQUE";;"IRAPxx-1205";;"CNRS";;;;;;;;;"83712B";;;"CNES3058";;;"RAVERA";;
Analyseur de spectres 9kHz-22GHz;"ELECTRONIQUE";;"IRAPxx-1206";;"CNRS";;;;;;;;;"8593E";;;"CNES3066";;;"RAVERA";;
Oscilloscope TDS 3032B;"ELECTRONIQUE";;"IRAPxx-1207";;"CNRS";;;;;;;;;"B031006";;;"CNES4049";;;"LANDÉ";;
Oscilloscope DPO4034;"ELECTRONIQUE";;"IRAPxx-1208";;"CNRS";;;;;;;;;;;;"CNES4156";;;"DEVOTO";;
Analyseur Logique 16822A;"ELECTRONIQUE";;"IRAPxx-1209";;"CNRS";;;;;;;;;;;;"CNES4174";;;"DEVOTO";;
Générateur d'impulsion;"ELECTRONIQUE";;"IRAPxx-1210";;"CNRS";;;;;;;;;;;;"CNES4219";;;"DEVOTO";;
