DESIGNATION MATERIEL;"CATEGORIE";"SOUS CATEGORIE";"N° INV. IRAP";"DESCRIPTION";"Organisme (UPS ou CNRS)";"INVENTORIABLE";"TECHNIQUE";"STATUT";"NOM du FOURNISSEUR";"MONTANT";"ORIGINE CREDITS";"CDE";"CODE COMPTABLE";"REF. MATERIEL - N° série";"groupe thematique";"groupe technique";"Numéro inventaire organisme";"Lieu de stockage";"description lieu";"NOM RESPONSABLE PROJET";"Mail responsable";"Date de mise en service"
LATITUDE E6420;"INFORMATIQUE";;"IRAP11-1093";;"CNRS";;;;"DELL";1082,00;"9ADO2680";;21830000;;;;"29060304000--97";;;;;"28/12/2011"
LATITUDE E6420;"INFORMATIQUE";;"IRAP11-1094";;"CNRS";;;;"DELL";1082,00;"9ADO2680";;21830000;;;;"29060305000--95";;;;;"28/12/2011"
transformateur d'isolement;"INSTRUMENTATION";;"IRAP11-1095";;"CNRS";;;;"Pulse MC2";865,00;321803;;21540000;;;;"14060792000--98-2006";;;;;"28/12/2011"
LATITUDE E6420;"INFORMATIQUE";;"IRAP11-1096";;"CNRS";;;;"DELL";1082,00;"9ADO2680";;21830000;;;;"CPER 052";;;;;"28/12/2011"
ORDINATEUR HP;"INFORMATIQUE";;"IRAP11-1097";;"UPS";;;;"HEWLETT PACKARD ";;"A10P00027";"4500090723";;;;;;;;"JACQUEY ET TERRIER";;
GENERATEUR DE FONCTIONS;"INSTRUMENTATION";;"IRAP11-1098";;"UPS";;;;"DISTRAME FRANCAISE D'INSTRUMENTATION";4352,00;"A08P0113";"4500115055";;;;;;;;"CHASSELA";;
CAT 3 CONF 4 LATITUDE;"INFORMATIQUE";;"IRAP12-1099";;"CNRS";;;;"DELL ";871,01;297664;"L04964";;;;;"14061150000--127";;;"ANDRÉ";;"23/12/2012"
PC ANNULE ET REMPLACE;"INFORMATIQUE";;"IRAP12-1100";;"CNRS";;;;"HEWLETT PACKARD ";952,52;315457;"L06347";;;;;"29060435000--2006-101";;;"ANDRE ET RUBILLA";;21/01/2012
PC CONFIGURATION 2 Z80;"INFORMATIQUE";;"IRAP12-1101";;"CNRS";;;;"HEWLETT PACKARD ";1628,23;315654;"L06344";;;;;"14060426000--786/09";;;"MOT";;05/01/2012
PC CONFICURATION 2 Z80;"INFORMATIQUE";;"IRAP12-1102";;"CNRS";;;;"HEWLETT PACKARD ";2063,31;315654;"L05537";;;;;"29060437000--2006-103";;;"MOT";;17/02/2012
MACBOOK PRO 15,4"";"INFORMATIQUE";;"IRAP12-1103";;"CNRS";;;;"FRANCE SYSTEMES ";1419,69;28749131;"L06122";;;;;"29060932000--126";;;"GREGOIRE";;02/12/2012
MACBOOK PRO 15,4"";"INFORMATIQUE";;"IRAP12-1104";;"CNRS";;;;"FRANCE SYSTEMES ";1272,26;"DOTATION ";"L05299";;;;;"29060326000--2006/100";;;"BACHETTI";;12/01/2012
